PeakID (cmd=annotatePeaks.pl overlapped_H3K27ac.bed /media/dimbo/10T/data/talianidis_data/genomes/mm10/hisat_index/mm10.fa -gtf /media/dimbo/10T/data/talianidis_data/genomes/mm10/genes_info/mm10_GENES_GENCODE.VM23.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
H3K27ac_i73_peak_2915	chr14	34355091	34356142	+	80	NA	promoter-TSS (ENSMUST00000052126.5)	-promoter-TSS (ENSMUST00000052126.5)	-183	ENSMUST00000052126.5	ENSMUST00000052126	ENSMUST00000052126						NA
H3K27ac_i73_peak_85	chr1	59208591	59209058	+	80	NA	intron (ENSMUST00000163058.1, intron 6 of 33)	-intron (ENSMUST00000027178.12, intron 6 of 33)	10302	ENSMUST00000188469.1	ENSMUST00000188469	ENSMUST00000188469						NA
H3K27ac_i73_peak_3461	chr15	79022623	79023065	+	80	NA	intron (ENSMUST00000229708.1, intron 1 of 2)	-intron (ENSMUST00000229708.1, intron 1 of 2)	685	ENSMUST00000231015.1	ENSMUST00000231015	ENSMUST00000231015						NA
H3K27ac_i73_peak_1394	chr11	53308073	53308570	+	80	NA	Intergenic	Intergenic	-7864	ENSMUST00000020630.7	ENSMUST00000020630	ENSMUST00000020630						NA
H3K27ac_i73_peak_8927	chr7	101321741	101322753	+	80	NA	intron (ENSMUST00000210192.1, intron 2 of 6)	-intron (ENSMUST00000032927.13, intron 2 of 6)	276	ENSMUST00000174083.1	ENSMUST00000174083	ENSMUST00000174083						NA
H3K27ac_i73_peak_993	chr10	84441088	84441687	+	80	NA	promoter-TSS (ENSMUST00000020220.14)	-promoter-TSS (ENSMUST00000020220.14)	561	ENSMUST00000214135.1	ENSMUST00000214135	ENSMUST00000214135						NA
H3K27ac_i73_peak_8194	chr6	114883341	114883712	+	80	NA	intron (ENSMUST00000147639.7, intron 3 of 5)	-intron (ENSMUST00000032459.13, intron 2 of 4)	-8419	ENSMUST00000152710.7	ENSMUST00000152710	ENSMUST00000152710						NA
H3K27ac_i73_peak_10096	chr9	69994863	69995176	+	79	NA	promoter-TSS (ENSMUST00000165389.7)	-promoter-TSS (ENSMUST00000165389.7)	-459	ENSMUST00000165389.7	ENSMUST00000165389	ENSMUST00000165389						NA
H3K27ac_i73_peak_5058	chr19	25383411	25383678	+	79	NA	intron (ENSMUST00000049400.14, intron 4 of 13)	-intron (ENSMUST00000049400.14, intron 4 of 13)	-11759	ENSMUST00000137260.1	ENSMUST00000137260	ENSMUST00000137260						NA
H3K27ac_i73_peak_9080	chr7	128524118	128524439	+	79	NA	intron (ENSMUST00000033136.8, intron 1 of 3)	-intron (ENSMUST00000033136.8, intron 1 of 3)	662	ENSMUST00000033136.8	ENSMUST00000033136	ENSMUST00000033136						NA
H3K27ac_i73_peak_4476	chr17	83275887	83276258	+	79	NA	Intergenic	Intergenic	6101	ENSMUST00000157785.1	ENSMUST00000157785	ENSMUST00000157785						NA
H3K27ac_i73_peak_8427	chr7	16404894	16405392	+	79	NA	promoter-TSS (ENSMUST00000209298.1)	-promoter-TSS (ENSMUST00000209298.1)	-881	ENSMUST00000209298.1	ENSMUST00000209298	ENSMUST00000209298						NA
H3K27ac_i73_peak_8420	chr7	16051888	16052201	+	79	NA	Intergenic	Intergenic	-4123	ENSMUST00000210781.1	ENSMUST00000210781	ENSMUST00000210781						NA
H3K27ac_i73_peak_3415	chr15	77832497	77832863	+	79	NA	intron (ENSMUST00000134878.1, intron 1 of 2)	-intron (ENSMUST00000016771.12, intron 1 of 40)	8076	ENSMUST00000122548.1	ENSMUST00000122548	ENSMUST00000122548						NA
H3K27ac_i73_peak_7407	chr5	92715949	92716199	+	79	NA	intron (ENSMUST00000168878.7, intron 1 of 11)	-intron (ENSMUST00000113055.8, intron 1 of 10)	-20131	ENSMUST00000174621.1	ENSMUST00000174621	ENSMUST00000174621						NA
H3K27ac_i73_peak_679	chr1	193272319	193273598	+	79	NA	promoter-TSS (ENSMUST00000193128.1)	-promoter-TSS (ENSMUST00000193128.1)	259	ENSMUST00000009777.3	ENSMUST00000009777	ENSMUST00000009777						NA
H3K27ac_i73_peak_2426	chr13	13460449	13460895	+	79	NA	intron (ENSMUST00000222142.1, intron 1 of 13)	-intron (ENSMUST00000005532.8, intron 1 of 19)	21733	ENSMUST00000220813.1	ENSMUST00000220813	ENSMUST00000220813						NA
H3K27ac_i73_peak_8035	chr6	85929360	85929779	+	79	NA	TTS (ENSMUST00000113752.7)	-TTS (ENSMUST00000113752.7)	3810	ENSMUST00000162660.1	ENSMUST00000162660	ENSMUST00000162660						NA
H3K27ac_i73_peak_9348	chr8	46883311	46883580	+	79	NA	Intergenic	Intergenic	-49533	ENSMUST00000209717.1	ENSMUST00000209717	ENSMUST00000209717						NA
H3K27ac_i73_peak_6486	chr3	146580044	146580622	+	79	NA	TTS (ENSMUST00000029836.8)	-TTS (ENSMUST00000029836.8)	9907	ENSMUST00000199489.4	ENSMUST00000199489	ENSMUST00000199489						NA
H3K27ac_i73_peak_7381	chr5	90449949	90450313	+	79	NA	Intergenic	Intergenic	-10766	ENSMUST00000031314.9	ENSMUST00000031314	ENSMUST00000031314						NA
H3K27ac_i73_peak_9416	chr8	71383418	71384142	+	78	NA	TTS (ENSMUST00000212626.1)	-TTS (ENSMUST00000212626.1)	-1820	ENSMUST00000002466.8	ENSMUST00000002466	ENSMUST00000002466						NA
H3K27ac_i73_peak_8323	chr6	129235601	129236518	+	78	NA	intron (ENSMUST00000205051.2, intron 1 of 3)	-intron (ENSMUST00000180379.3, intron 2 of 3)	1889	ENSMUST00000181238.1	ENSMUST00000181238	ENSMUST00000181238						NA
H3K27ac_i73_peak_3242	chr15	55265323	55265813	+	78	NA	Intergenic	Intergenic	-2965	ENSMUST00000179457.1	ENSMUST00000179457	ENSMUST00000179457						NA
H3K27ac_i73_peak_6794	chr4	108318723	108318959	+	78	NA	Intergenic	Intergenic	-3497	ENSMUST00000118794.1	ENSMUST00000118794	ENSMUST00000118794						NA
H3K27ac_i73_peak_6981	chr4	137941900	137942156	+	78	NA	intron (ENSMUST00000102518.9, intron 9 of 19)	-intron (ENSMUST00000102518.9, intron 9 of 19)	28346	ENSMUST00000129607.1	ENSMUST00000129607	ENSMUST00000129607						NA
H3K27ac_i73_peak_2842	chr14	25523195	25523840	+	78	NA	intron (ENSMUST00000162645.7, intron 2 of 23)	-intron (ENSMUST00000007961.14, intron 2 of 23)	-10922	ENSMUST00000175340.1	ENSMUST00000175340	ENSMUST00000175340						NA
H3K27ac_i73_peak_4681	chr18	35676253	35676611	+	78	NA	intron (ENSMUST00000235930.1, intron 3 of 3)	-intron (ENSMUST00000025208.6, intron 7 of 7)	10311	ENSMUST00000235930.1	ENSMUST00000235930	ENSMUST00000235930						NA
H3K27ac_i73_peak_6122	chr3	28705608	28706078	+	78	NA	intron (ENSMUST00000163536.7, intron 2 of 9)	-intron (ENSMUST00000029240.13, intron 2 of 10)	7826	ENSMUST00000163536.7	ENSMUST00000163536	ENSMUST00000163536						NA
H3K27ac_i73_peak_9917	chr9	43757251	43757615	+	78	NA	intron (ENSMUST00000034510.8, intron 1 of 5)	-intron (ENSMUST00000034510.8, intron 1 of 5)	-11333	ENSMUST00000216604.1	ENSMUST00000216604	ENSMUST00000216604						NA
H3K27ac_i73_peak_5776	chr2	144176500	144177930	+	78	NA	intron (ENSMUST00000210577.1, intron 1 of 2)	-intron (ENSMUST00000099292.8, intron 2 of 3)	1871	ENSMUST00000166982.2	ENSMUST00000166982	ENSMUST00000166982						NA
H3K27ac_i73_peak_9251	chr8	22394422	22394671	+	78	NA	intron (ENSMUST00000210020.1, intron 2 of 5)	-intron (ENSMUST00000033871.7, intron 2 of 6)	3998	ENSMUST00000210020.1	ENSMUST00000210020	ENSMUST00000210020						NA
H3K27ac_i73_peak_964	chr10	81320922	81321155	+	78	NA	promoter-TSS (ENSMUST00000050867.7)	-promoter-TSS (ENSMUST00000050867.7)	-65	ENSMUST00000050867.7	ENSMUST00000050867	ENSMUST00000050867						NA
H3K27ac_i73_peak_8109	chr6	91684706	91685330	+	78	NA	intron (ENSMUST00000206545.1, intron 1 of 2)	-intron (ENSMUST00000032185.8, intron 1 of 14)	869	ENSMUST00000206451.1	ENSMUST00000206451	ENSMUST00000206451						NA
H3K27ac_i73_peak_1826	chr11	106514427	106514826	+	78	NA	intron (ENSMUST00000042780.13, intron 8 of 11)	-intron (ENSMUST00000042780.13, intron 8 of 11)	13381	ENSMUST00000116890.2	ENSMUST00000116890	ENSMUST00000116890						NA
H3K27ac_i73_peak_1087	chr10	111596777	111597045	+	77	NA	Intergenic	Intergenic	-2266	ENSMUST00000219137.1	ENSMUST00000219137	ENSMUST00000219137						NA
H3K27ac_i73_peak_903	chr10	80051423	80052521	+	77	NA	intron (ENSMUST00000144698.7, intron 2 of 6)	-intron (ENSMUST00000144698.7, intron 2 of 6)	-1516	ENSMUST00000105372.7	ENSMUST00000105372	ENSMUST00000105372						NA
H3K27ac_i73_peak_3408	chr15	77818722	77819180	+	77	NA	intron (ENSMUST00000134878.1, intron 1 of 2)	-intron (ENSMUST00000016771.12, intron 1 of 40)	-5720	ENSMUST00000124844.7	ENSMUST00000124844	ENSMUST00000124844						NA
H3K27ac_i73_peak_6331	chr3	101515687	101517649	+	77	NA	Intergenic	Intergenic	60892	ENSMUST00000130649.1	ENSMUST00000130649	ENSMUST00000130649						NA
H3K27ac_i73_peak_7572	chr5	124172319	124172646	+	77	NA	intron (ENSMUST00000162812.7, intron 2 of 24)	-intron (ENSMUST00000086123.10, intron 1 of 23)	12636	ENSMUST00000161644.2	ENSMUST00000161644	ENSMUST00000161644						NA
H3K27ac_i73_peak_6751	chr4	102570281	102570939	+	77	NA	exon (ENSMUST00000097950.8, exon 1 of 10)	-exon (ENSMUST00000097950.8, exon 1 of 10)	515	ENSMUST00000097950.8	ENSMUST00000097950	ENSMUST00000097950						NA
H3K27ac_i73_peak_6647	chr4	53595706	53595978	+	77	NA	promoter-TSS (ENSMUST00000133582.1)	-promoter-TSS (ENSMUST00000133582.1)	-263	ENSMUST00000133582.1	ENSMUST00000133582	ENSMUST00000133582						NA
H3K27ac_i73_peak_6286	chr3	95317346	95318059	+	77	NA	promoter-TSS (ENSMUST00000139498.7)	-promoter-TSS (ENSMUST00000139498.7)	-319	ENSMUST00000139498.7	ENSMUST00000139498	ENSMUST00000139498						NA
H3K27ac_i73_peak_2229	chr12	80130484	80130793	+	77	NA	intron (ENSMUST00000219349.1, intron 3 of 5)	-intron (ENSMUST00000180643.2, intron 2 of 2)	1958	ENSMUST00000220125.1	ENSMUST00000220125	ENSMUST00000220125						NA
H3K27ac_i73_peak_7302	chr5	52992453	52992799	+	77	NA	promoter-TSS (ENSMUST00000196858.1)	-promoter-TSS (ENSMUST00000196858.1)	-283	ENSMUST00000196858.1	ENSMUST00000196858	ENSMUST00000196858						NA
H3K27ac_i73_peak_7327	chr5	64804276	64804552	+	77	NA	promoter-TSS (ENSMUST00000180470.1)	-promoter-TSS (ENSMUST00000180470.1)	-297	ENSMUST00000180912.5	ENSMUST00000180912	ENSMUST00000180912						NA
H3K27ac_i73_peak_2858	chr14	26638723	26639045	+	77	NA	promoter-TSS (ENSMUST00000166902.1)	-promoter-TSS (ENSMUST00000166902.1)	537	ENSMUST00000112318.9	ENSMUST00000112318	ENSMUST00000112318						NA
H3K27ac_i73_peak_9048	chr7	126799527	126799762	+	77	NA	promoter-TSS (ENSMUST00000032934.11)	-promoter-TSS (ENSMUST00000032934.11)	-390	ENSMUST00000032934.11	ENSMUST00000032934	ENSMUST00000032934						NA
H3K27ac_i73_peak_3968	chr16	43362889	43363252	+	77	NA	promoter-TSS (ENSMUST00000139491.7)	-promoter-TSS (ENSMUST00000139491.7)	22	ENSMUST00000141941.7	ENSMUST00000141941	ENSMUST00000141941						NA
H3K27ac_i73_peak_7528	chr5	120466888	120467431	+	77	NA	intron (ENSMUST00000052258.13, intron 1 of 7)	-intron (ENSMUST00000031594.12, intron 2 of 8)	201	ENSMUST00000132916.1	ENSMUST00000132916	ENSMUST00000132916						NA
H3K27ac_i73_peak_419	chr1	136695870	136696345	+	77	NA	promoter-TSS (ENSMUST00000181274.1)	-promoter-TSS (ENSMUST00000181274.1)	-104	ENSMUST00000181274.1	ENSMUST00000181274	ENSMUST00000181274						NA
H3K27ac_i73_peak_5722	chr2	126932538	126933469	+	77	NA	exon (ENSMUST00000028844.10, exon 1 of 15)	-exon (ENSMUST00000028844.10, exon 1 of 15)	232	ENSMUST00000028844.10	ENSMUST00000028844	ENSMUST00000028844						NA
H3K27ac_i73_peak_2245	chr12	81186742	81187025	+	77	NA	TTS (ENSMUST00000021564.10)	-TTS (ENSMUST00000021564.10)	20732	ENSMUST00000174932.1	ENSMUST00000174932	ENSMUST00000174932						NA
H3K27ac_i73_peak_3802	chr16	17344486	17344830	+	77	NA	intron (ENSMUST00000232404.1, intron 2 of 10)	-intron (ENSMUST00000036161.11, intron 19 of 54)	-2646	ENSMUST00000083397.1	ENSMUST00000083397	ENSMUST00000083397						NA
H3K27ac_i73_peak_5687	chr2	114654769	114655159	+	77	NA	promoter-TSS (ENSMUST00000028640.13)	-promoter-TSS (ENSMUST00000028640.13)	0	ENSMUST00000102542.9	ENSMUST00000102542	ENSMUST00000102542						NA
H3K27ac_i73_peak_4645	chr18	20741497	20741765	+	77	NA	intron (ENSMUST00000070080.5, intron 1 of 8)	-intron (ENSMUST00000070080.5, intron 1 of 8)	4773	ENSMUST00000070080.5	ENSMUST00000070080	ENSMUST00000070080						NA
H3K27ac_i73_peak_1462	chr11	60213063	60213662	+	76	NA	intron (ENSMUST00000136215.1, intron 1 of 1)	-intron (ENSMUST00000020846.7, intron 1 of 18)	-2897	ENSMUST00000144942.1	ENSMUST00000144942	ENSMUST00000144942						NA
H3K27ac_i73_peak_5871	chr2	158079665	158080333	+	76	NA	intron (ENSMUST00000186977.1, intron 3 of 3)	-intron (ENSMUST00000152452.7, intron 5 of 5)	11798	ENSMUST00000186977.1	ENSMUST00000186977	ENSMUST00000186977						NA
H3K27ac_i73_peak_4628	chr18	12809710	12809955	+	76	NA	intron (ENSMUST00000121774.7, intron 1 of 11)	-intron (ENSMUST00000074352.10, intron 17 of 27)	9766	ENSMUST00000234428.1	ENSMUST00000234428	ENSMUST00000234428						NA
H3K27ac_i73_peak_42	chr1	37341320	37341664	+	76	NA	intron (ENSMUST00000136846.7, intron 1 of 25)	-intron (ENSMUST00000027287.10, intron 1 of 25)	-7320	ENSMUST00000141402.1	ENSMUST00000141402	ENSMUST00000141402						NA
H3K27ac_i73_peak_8338	chr6	134764698	134765084	+	76	NA	intron (ENSMUST00000129433.3, intron 1 of 6)	-intron (ENSMUST00000100857.9, intron 1 of 6)	-3791	ENSMUST00000204083.2	ENSMUST00000204083	ENSMUST00000204083						NA
H3K27ac_i73_peak_3178	chr15	31225093	31225316	+	76	NA	promoter-TSS (ENSMUST00000186425.6)	-promoter-TSS (ENSMUST00000186425.6)	8	ENSMUST00000186425.6	ENSMUST00000186425	ENSMUST00000186425						NA
H3K27ac_i73_peak_9447	chr8	84656762	84657150	+	76	NA	Intergenic	Intergenic	5898	ENSMUST00000060427.5	ENSMUST00000060427	ENSMUST00000060427						NA
H3K27ac_i73_peak_3400	chr15	77800546	77801026	+	76	NA	intron (ENSMUST00000129453.7, intron 3 of 7)	-intron (ENSMUST00000016771.12, intron 3 of 40)	12445	ENSMUST00000124844.7	ENSMUST00000124844	ENSMUST00000124844						NA
H3K27ac_i73_peak_1985	chr11	118211688	118212344	+	76	NA	intron (ENSMUST00000106305.8, intron 1 of 12)	-intron (ENSMUST00000017276.13, intron 1 of 12)	726	ENSMUST00000151165.1	ENSMUST00000151165	ENSMUST00000151165						NA
H3K27ac_i73_peak_2482	chr13	37537512	37538879	+	76	NA	Intergenic	Intergenic	-3162	ENSMUST00000224508.1	ENSMUST00000224508	ENSMUST00000224508						NA
H3K27ac_i73_peak_797	chr10	61089718	61090197	+	76	NA	intron (ENSMUST00000218005.1, intron 1 of 2)	-intron (ENSMUST00000020298.7, intron 1 of 3)	598	ENSMUST00000020298.7	ENSMUST00000020298	ENSMUST00000020298						NA
H3K27ac_i73_peak_1020	chr10	91183364	91183721	+	76	NA	Intergenic	Intergenic	-2227	ENSMUST00000216402.1	ENSMUST00000216402	ENSMUST00000216402						NA
H3K27ac_i73_peak_2833	chr14	25497702	25498105	+	76	NA	intron (ENSMUST00000162645.7, intron 1 of 23)	-intron (ENSMUST00000007961.14, intron 1 of 23)	-4752	ENSMUST00000160680.2	ENSMUST00000160680	ENSMUST00000160680						NA
H3K27ac_i73_peak_2468	chr13	34465906	34466178	+	76	NA	Intergenic	Intergenic	-39611	ENSMUST00000222063.1	ENSMUST00000222063	ENSMUST00000222063						NA
H3K27ac_i73_peak_3403	chr15	77813649	77814013	+	76	NA	promoter-TSS (ENSMUST00000124844.7)	-promoter-TSS (ENSMUST00000124844.7)	-600	ENSMUST00000124844.7	ENSMUST00000124844	ENSMUST00000124844						NA
H3K27ac_i73_peak_749	chr10	40497034	40497738	+	76	NA	Intergenic	Intergenic	-51506	ENSMUST00000214826.1	ENSMUST00000214826	ENSMUST00000214826						NA
H3K27ac_i73_peak_5507	chr2	38513351	38513728	+	76	NA	intron (ENSMUST00000112895.7, intron 1 of 9)	-intron (ENSMUST00000054234.9, intron 1 of 9)	-1042	ENSMUST00000151683.7	ENSMUST00000151683	ENSMUST00000151683						NA
H3K27ac_i73_peak_8797	chr7	80027642	80028074	+	76	NA	promoter-TSS (ENSMUST00000206104.1)	-promoter-TSS (ENSMUST00000206104.1)	44	ENSMUST00000206104.1	ENSMUST00000206104	ENSMUST00000206104						NA
H3K27ac_i73_peak_2285	chr12	86890548	86891303	+	76	NA	Intergenic	Intergenic	-6127	ENSMUST00000038422.7	ENSMUST00000038422	ENSMUST00000038422						NA
H3K27ac_i73_peak_1339	chr11	49086543	49087454	+	76	NA	promoter-TSS (ENSMUST00000046704.6)	-promoter-TSS (ENSMUST00000046704.6)	-36	ENSMUST00000203412.1	ENSMUST00000203412	ENSMUST00000203412						NA
H3K27ac_i73_peak_5624	chr2	91152983	91153363	+	76	NA	promoter-TSS (ENSMUST00000135910.1)	-promoter-TSS (ENSMUST00000135910.1)	-682	ENSMUST00000135910.1	ENSMUST00000135910	ENSMUST00000135910						NA
H3K27ac_i73_peak_8009	chr6	82065299	82065529	+	76	NA	intron (ENSMUST00000149023.1, intron 1 of 2)	-intron (ENSMUST00000042974.14, intron 1 of 2)	-12833	ENSMUST00000145950.1	ENSMUST00000145950	ENSMUST00000145950						NA
H3K27ac_i73_peak_4141	chr17	24878578	24878814	+	75	NA	promoter-TSS (ENSMUST00000234754.1)	-intron (ENSMUST00000234862.1, intron 1 of 1)	-61	ENSMUST00000234754.1	ENSMUST00000234754	ENSMUST00000234754						NA
H3K27ac_i73_peak_5487	chr2	35063863	35064426	+	75	NA	Intergenic	Intergenic	-2706	ENSMUST00000028233.6	ENSMUST00000028233	ENSMUST00000028233						NA
H3K27ac_i73_peak_748	chr10	40494220	40495769	+	75	NA	Intergenic	Intergenic	-53898	ENSMUST00000214826.1	ENSMUST00000214826	ENSMUST00000214826						NA
H3K27ac_i73_peak_8719	chr7	63925414	63926105	+	75	NA	promoter-TSS (ENSMUST00000183817.1)	-promoter-TSS (ENSMUST00000183817.1)	-889	ENSMUST00000183817.1	ENSMUST00000183817	ENSMUST00000183817						NA
H3K27ac_i73_peak_6700	chr4	83315112	83316090	+	75	NA	intron (ENSMUST00000102823.9, intron 1 of 19)	-intron (ENSMUST00000030205.13, intron 1 of 6)	8588	ENSMUST00000030205.13	ENSMUST00000030205	ENSMUST00000030205						NA
H3K27ac_i73_peak_1312	chr11	32555230	32555746	+	75	NA	intron (ENSMUST00000102821.3, intron 2 of 18)	-intron (ENSMUST00000102821.3, intron 2 of 18)	22183	ENSMUST00000102821.3	ENSMUST00000102821	ENSMUST00000102821						NA
H3K27ac_i73_peak_6125	chr3	28713810	28714487	+	75	NA	intron (ENSMUST00000029240.13, intron 4 of 10)	-intron (ENSMUST00000029240.13, intron 4 of 10)	-7369	ENSMUST00000169047.1	ENSMUST00000169047	ENSMUST00000169047						NA
H3K27ac_i73_peak_7522	chr5	117363197	117364244	+	75	NA	exon (ENSMUST00000031309.15, exon 2 of 9)	-exon (ENSMUST00000031309.15, exon 2 of 9)	198	ENSMUST00000111959.1	ENSMUST00000111959	ENSMUST00000111959						NA
H3K27ac_i73_peak_5617	chr2	90916851	90918243	+	75	NA	promoter-TSS (ENSMUST00000155621.2)	-promoter-TSS (ENSMUST00000155621.2)	49	ENSMUST00000155621.2	ENSMUST00000155621	ENSMUST00000155621						NA
H3K27ac_i73_peak_9741	chr8	126594424	126595671	+	75	NA	Intergenic	Intergenic	-1061	ENSMUST00000054960.7	ENSMUST00000054960	ENSMUST00000054960						NA
H3K27ac_i73_peak_7249	chr5	32746360	32746667	+	75	NA	promoter-TSS (ENSMUST00000120591.7)	-promoter-TSS (ENSMUST00000120591.7)	-102	ENSMUST00000135248.1	ENSMUST00000135248	ENSMUST00000135248						NA
H3K27ac_i73_peak_8391	chr7	3292837	3293271	+	75	NA	promoter-TSS (ENSMUST00000164553.6)	-promoter-TSS (ENSMUST00000164553.6)	-40	ENSMUST00000164553.6	ENSMUST00000164553	ENSMUST00000164553						NA
H3K27ac_i73_peak_9802	chr9	7872747	7873171	+	75	NA	promoter-TSS (ENSMUST00000013949.14)	-promoter-TSS (ENSMUST00000013949.14)	24	ENSMUST00000115672.1	ENSMUST00000115672	ENSMUST00000115672						NA
H3K27ac_i73_peak_9741-2	chr8	126594424	126595671	+	75	NA	Intergenic	Intergenic	-1061	ENSMUST00000054960.7	ENSMUST00000054960	ENSMUST00000054960						NA
H3K27ac_i73_peak_5740	chr2	130899083	130899436	+	75	NA	intron (ENSMUST00000133766.1, intron 1 of 1)	-intron (ENSMUST00000128176.1, intron 1 of 3)	7097	ENSMUST00000128176.1	ENSMUST00000128176	ENSMUST00000128176						NA
H3K27ac_i73_peak_1654	chr11	86758095	86758480	+	74	NA	promoter-TSS (ENSMUST00000060766.15)	-promoter-TSS (ENSMUST00000060766.15)	-722	ENSMUST00000103186.10	ENSMUST00000103186	ENSMUST00000103186						NA
H3K27ac_i73_peak_9845	chr9	22225819	22226161	+	74	NA	promoter-TSS (ENSMUST00000215583.1)	-promoter-TSS (ENSMUST00000215583.1)	21	ENSMUST00000215583.1	ENSMUST00000215583	ENSMUST00000215583						NA
H3K27ac_i73_peak_5048	chr19	23133918	23134369	+	74	NA	promoter-TSS (ENSMUST00000142712.1)	-promoter-TSS (ENSMUST00000142712.1)	-757	ENSMUST00000142712.1	ENSMUST00000142712	ENSMUST00000142712						NA
H3K27ac_i73_peak_6404	chr3	116968301	116968922	+	74	NA	exon (ENSMUST00000040097.13, exon 1 of 8)	-exon (ENSMUST00000040097.13, exon 1 of 8)	132	ENSMUST00000197659.1	ENSMUST00000197659	ENSMUST00000197659						NA
H3K27ac_i73_peak_952	chr10	80679435	80679948	+	74	NA	Intergenic	Intergenic	-1579	ENSMUST00000199949.1	ENSMUST00000199949	ENSMUST00000199949						NA
H3K27ac_i73_peak_5956	chr2	165887251	165887749	+	74	NA	intron (ENSMUST00000136842.1, intron 1 of 5)	-intron (ENSMUST00000109262.7, intron 1 of 10)	-2626	ENSMUST00000088113.10	ENSMUST00000088113	ENSMUST00000088113						NA
H3K27ac_i73_peak_9756	chr8	126776459	126776830	+	74	NA	Intergenic	Intergenic	-18310	ENSMUST00000212695.1	ENSMUST00000212695	ENSMUST00000212695						NA
H3K27ac_i73_peak_8849	chr7	83655237	83655600	+	74	NA	promoter-TSS (ENSMUST00000145610.7)	-promoter-TSS (ENSMUST00000145610.7)	77	ENSMUST00000145610.7	ENSMUST00000145610	ENSMUST00000145610						NA
H3K27ac_i73_peak_6553	chr4	40847300	40847695	+	74	NA	intron (ENSMUST00000108096.2, intron 1 of 4)	-intron (ENSMUST00000030121.12, intron 1 of 5)	2641	ENSMUST00000177794.1	ENSMUST00000177794	ENSMUST00000177794						NA
H3K27ac_i73_peak_2576	chr13	55190478	55190718	+	74	NA	Intergenic	Intergenic	-19184	ENSMUST00000099490.2	ENSMUST00000099490	ENSMUST00000099490						NA
H3K27ac_i73_peak_5352	chr2	27559970	27562439	+	73	NA	Intergenic	Intergenic	20775	ENSMUST00000132898.1	ENSMUST00000132898	ENSMUST00000132898						NA
H3K27ac_i73_peak_9214	chr8	11473005	11473979	+	73	NA	intron (ENSMUST00000033900.6, intron 1 of 1)	-intron (ENSMUST00000033900.6, intron 1 of 1)	-4437	ENSMUST00000180408.1	ENSMUST00000180408	ENSMUST00000180408						NA
H3K27ac_i73_peak_8083	chr6	90507974	90508673	+	73	NA	intron (ENSMUST00000127199.1, intron 1 of 2)	-intron (ENSMUST00000127199.1, intron 1 of 2)	-4979	ENSMUST00000204492.1	ENSMUST00000204492	ENSMUST00000204492						NA
H3K27ac_i73_peak_5726	chr2	127587200	127587608	+	73	NA	promoter-TSS (ENSMUST00000110366.7)	-promoter-TSS (ENSMUST00000110366.7)	-15	ENSMUST00000134101.7	ENSMUST00000134101	ENSMUST00000134101						NA
H3K27ac_i73_peak_5352-2	chr2	27559970	27562439	+	73	NA	Intergenic	Intergenic	20775	ENSMUST00000132898.1	ENSMUST00000132898	ENSMUST00000132898						NA
H3K27ac_i73_peak_4185	chr17	28445029	28445270	+	73	NA	intron (ENSMUST00000233102.1, intron 1 of 10)	-intron (ENSMUST00000079413.10, intron 1 of 10)	-1351	ENSMUST00000232983.1	ENSMUST00000232983	ENSMUST00000232983						NA
H3K27ac_i73_peak_2789	chr14	20164437	20164789	+	73	NA	intron (ENSMUST00000024011.9, intron 1 of 4)	-intron (ENSMUST00000024011.9, intron 1 of 4)	17196	ENSMUST00000024011.9	ENSMUST00000024011	ENSMUST00000024011						NA
H3K27ac_i73_peak_6140	chr3	51200978	51201373	+	73	NA	Intergenic	Intergenic	-23272	ENSMUST00000023849.14	ENSMUST00000023849	ENSMUST00000023849						NA
H3K27ac_i73_peak_8488	chr7	19841569	19842072	+	73	NA	Intergenic	Intergenic	-5153	ENSMUST00000207965.1	ENSMUST00000207965	ENSMUST00000207965						NA
H3K27ac_i73_peak_2536	chr13	48552238	48552924	+	73	NA	Intergenic	Intergenic	-6081	ENSMUST00000181490.3	ENSMUST00000181490	ENSMUST00000181490						NA
H3K27ac_i73_peak_7735	chr5	142931053	142931623	+	73	NA	Intergenic	Intergenic	-24584	ENSMUST00000100497.10	ENSMUST00000100497	ENSMUST00000100497						NA
